domain,keyword_combinations,predefined_title,predefined_answer,severity_tier,action_url
psychology,i am stressed about failing this final presentation and viva tomorrow or i am completely panicking about my upcoming midterm exam or scared of freezing up during my university examinations and ruining my career scores,Academic Evaluation Anxiety (Ref: P-1),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.
-> Actionable Next Step: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.",2,https://university.edu/support/psychology
mental_health,my chest is tight and i am hyperventilating shaking and panicking right now or brain fog is making it impossible to stay awake and i have zero energy left or having an acute panic attack and my heart is racing so fast it scares me,Somatic Hyper-Arousal Mitigation (Ref: P-2),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.
-> Actionable Next Step: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.",2,https://university.edu/support/mental_health
relationships,misunderstanding with a friend has created a massive emotional distance between us or the loneliness is driving me to a complete breakdown and i feel totally abandoned or i am feeling left out ghosted and rejected by someone i deeply care about,Communication Disconnection Reframe (Ref: P-3),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'
-> Actionable Next Step: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.",2,https://university.edu/support/relationships
psychology,i feel super anxious and overwhelmed by my poor grades and low gpa or this massive assignment deadline is giving me severe test anxiety and task paralysis or i am having a complete nervous breakdown over school work,Acute Academic Burnout Collapse (Ref: P-4),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.",2,https://university.edu/support/psychology
mental_health,i am at my absolute breaking point and feel like i am losing my mind or everything is spinning and i feel completely detached from my physical body or i feel completely exhausted tired and drained from chronic burnout and fatigue,Chronic Burnout Energy Balancing (Ref: P-5),"-> Clinical Insight: A nervous breakdown or feeling of collapse is your sympathetic nervous system firing an emergency shut-down signal due to prolonged, unmanaged hyper-arousal.
-> Psychological Exercise: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.
-> Actionable Next Step: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.",2,https://university.edu/support/mental_health
relationships,had a massive toxic fight and argument with my boyfriend and he is ghosting me or i am feeling left out ghosted and rejected by someone i deeply care about or i feel rejected by my close friends group and the distance is making me sad,Situational Isolation Intervention (Ref: P-6),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.
-> Actionable Next Step: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.",1,https://university.edu/support/relationships
psychology,i feel like i am about to collapse from academic stress or cramming for this competitive quiz ranking is causing heavy cognitive overload or i cannot focus on my studies because i feel like an academic imposter who will fail,GPA Evaluation Threat Reframe (Ref: P-7),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.
-> Actionable Next Step: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.",2,https://university.edu/support/psychology
mental_health,brain fog is making it impossible to stay awake and i have zero energy left or everything is spinning and i feel completely detached from my physical body or i am having a severe nervous breakdown and mental collapse right now,Nervous System De-escalation Protocol (Ref: P-8),"-> Clinical Insight: A nervous breakdown or feeling of collapse is your sympathetic nervous system firing an emergency shut-down signal due to prolonged, unmanaged hyper-arousal.
-> Psychological Exercise: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.
-> Actionable Next Step: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.",2,https://university.edu/support/mental_health
relationships,misunderstanding with a friend has created a massive emotional distance between us or dealing with extreme family friction and my parents are constantly judging me or i feel rejected by my close friends group and the distance is making me sad,Relational Attachment Anxiety Management (Ref: P-9),"-> Clinical Insight: Defensive posturing during an argument stems from an internal need to protect oneself from perceived emotional rejection.
-> Psychological Exercise: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'
-> Actionable Next Step: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.",1,https://university.edu/support/relationships
psychology,i am stressed about failing this final presentation and viva tomorrow or i feel like i am about to collapse from academic stress or this massive assignment deadline is giving me severe test anxiety and task paralysis,Academic Evaluation Anxiety (Ref: P-10),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.",2,https://university.edu/support/psychology
mental_health,everything is spinning and i feel completely detached from my physical body or i feel completely exhausted tired and drained from chronic burnout and fatigue or i am at my absolute breaking point and feel like i am losing my mind,Nervous System De-escalation Protocol (Ref: P-11),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.
-> Actionable Next Step: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.",2,https://university.edu/support/mental_health
relationships,dealing with extreme family friction and my parents are constantly judging me or i just went through a terrible breakup and i feel completely lonely and isolated or caught in a codependent relationship cycle that is destroying my individual independence,Communication Disconnection Reframe (Ref: P-12),"-> Clinical Insight: Defensive posturing during an argument stems from an internal need to protect oneself from perceived emotional rejection.
-> Psychological Exercise: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.
-> Actionable Next Step: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.",1,https://university.edu/support/relationships
psychology,i am completely panicking about my upcoming midterm exam or cramming for this competitive quiz ranking is causing heavy cognitive overload or i feel super anxious and overwhelmed by my poor grades and low gpa,Acute Academic Burnout Collapse (Ref: P-13),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.",2,https://university.edu/support/psychology
mental_health,i am physically collapsing from stress and i cannot cope with reality anymore or brain fog is making it impossible to stay awake and i have zero energy left or i feel completely numb isolated from everyone and i keep crying for no reason,Acute Panic Attack Somatic Override (Ref: P-14),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.
-> Actionable Next Step: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.",1,https://university.edu/support/mental_health
relationships,had a massive toxic fight and argument with my boyfriend and he is ghosting me or caught in a codependent relationship cycle that is destroying my individual independence or i feel rejected by my close friends group and the distance is making me sad,Communication Disconnection Reframe (Ref: P-15),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.
-> Actionable Next Step: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'",1,https://university.edu/support/relationships
psychology,i cannot focus on my studies because i feel like an academic imposter who will fail or i am completely panicking about my upcoming midterm exam or i am having a complete nervous breakdown over school work,Academic Evaluation Anxiety (Ref: P-16),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.",2,https://university.edu/support/psychology
mental_health,i feel completely numb isolated from everyone and i keep crying for no reason or i feel completely exhausted tired and drained from chronic burnout and fatigue or i feel deeply depressed sad unmotivated and empty inside my room,Somatic Hyper-Arousal Mitigation (Ref: P-17),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.
-> Actionable Next Step: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.",1,https://university.edu/support/mental_health
relationships,i feel rejected by my close friends group and the distance is making me sad or dealing with extreme family friction and my parents are constantly judging me or misunderstanding with a friend has created a massive emotional distance between us,Situational Isolation Intervention (Ref: P-18),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.
-> Actionable Next Step: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'",1,https://university.edu/support/relationships
psychology,i am completely panicking about my upcoming midterm exam or scared of freezing up during my university examinations and ruining my career scores or i am having a complete nervous breakdown over school work,Acute Academic Burnout Collapse (Ref: P-19),"-> Clinical Insight: Perceived academic failure activates catastrophic thinking loops regarding long-term career viability.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.",2,https://university.edu/support/psychology
mental_health,i cannot sleep at all because my mind is racing with bad nightmares and insomnia or everything is spinning and i feel completely detached from my physical body or my chest is tight and i am hyperventilating shaking and panicking right now,Somatic Hyper-Arousal Mitigation (Ref: P-20),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.
-> Actionable Next Step: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.",2,https://university.edu/support/mental_health
relationships,dealing with extreme family friction and my parents are constantly judging me or misunderstanding with a friend has created a massive emotional distance between us or had a massive toxic fight and argument with my boyfriend and he is ghosting me,Relational Rejection Processing (Ref: P-21),"-> Clinical Insight: Defensive posturing during an argument stems from an internal need to protect oneself from perceived emotional rejection.
-> Psychological Exercise: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'
-> Actionable Next Step: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.",1,https://university.edu/support/relationships
psychology,i cannot focus on my studies because i feel like an academic imposter who will fail or i am stressed about failing this final presentation and viva tomorrow or i am obsessed with my cgpa calculation and perfectionist expectations are killing me,Performance Anxiety Regulation (Ref: P-22),"-> Clinical Insight: Tying personal human value to numerical GPA metrics triggers severe evolutionary threat responses.
-> Psychological Exercise: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.
-> Actionable Next Step: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.",1,https://university.edu/support/psychology
mental_health,i feel completely numb isolated from everyone and i keep crying for no reason or my chest is tight and i am hyperventilating shaking and panicking right now or i am having a severe nervous breakdown and mental collapse right now,Acute Panic Attack Somatic Override (Ref: P-23),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.
-> Actionable Next Step: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.",2,https://university.edu/support/mental_health
